x,y,z
1175.047028,5415.993786,1.447564438
1181.018497,5379.748934,1.457317079
1139.742654,5355.788992,1.46383661
1185.283432,5520.530081,1.420153479
1178.350694,5448.279289,1.438986437
1185.134432,5413.02994,1.448357036
1143.32633,5388.290235,1.455006998
1187.906382,5553.231332,1.411790637
1181.764694,5481.827994,1.430179861
1145.324798,5465.00384,1.434582707
1189.361649,5447.588761,1.43916884
1147.015914,5422.042462,1.445949576
1110.832463,5405.331475,1.450419838
1185.29373,5516.679537,1.421144721
1148.404417,5499.309051,1.425633644
1193.705346,5483.466249,1.429752577
1150.816153,5457.085244,1.436664382
1114.183867,5439.83037,1.441221411
1188.942612,5552.875571,1.411881088
1151.599225,5534.939605,1.416456287
1154.731912,5493.460223,1.4271515
1117.646122,5475.642374,1.43179548
1163.504776,5648.747346,1.387918333
1154.913782,5571.938454,1.407050718
1158.768171,5531.211195,1.417411074
1121.223839,5512.810356,1.422142155
1158.35277,5610.350771,1.397417081
1125.310376,5599.539012,1.400115257
1162.930052,5570.384273,1.407443296
1124.921751,5551.379454,1.412261595
1092.105086,5540.637533,1.414999619
